eav_threshold,final_eval_reward,final_legal_snr_db,final_leakage_rate,best_eval_reward,best_step
5,4.17231559753418,6.369549847730192,0.1137777777777777,23.42116355895996,820000
10,37.48235321044922,9.716506135722163,0.0515555555555555,46.35902404785156,860000
15,54.367977142333984,12.657827789872574,0.0435555555555555,63.94884490966797,580000
